institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline
ИУПСиБК,Лабораторная,2025-09-01,2.7,7,Федоров И.И.,ИМ-41,Бухгалтерский учет
ИУПСиБК,Лабораторная,2025-09-01,3.3,19,Иванов И.И.,ИЗО-22,Иностранный язык
ИИС,Лабораторная,2025-09-01,3.3,16,Павлова О.О.,ИОМ-32,История
ИУПСиБК,Лекция,2025-09-01,1.7,6,Сидорова А.А.,ИГУиП-21,Математический анализ
ИМ,Лабораторная,2025-09-01,3.9,8,Петров П.П.,ИИС-23,Компьютерные сети
ИМ,Семинар,2025-09-01,3.8,12,Морозов Д.Д.,ИОМ-43,Иностранный язык
ИОМ,Семинар,2025-09-01,2.4,10,Новикова М.М.,ИЭФ-33,Иностранный язык
ИОМ,Семинар,2025-09-01,3.8,10,Новикова М.М.,ИМ-42,Бухгалтерский учет
ИЗО,Лекция,2025-09-01,2.0,18,Иванов И.И.,ИУПСиБК-31,Операционные системы
ИЗО,Семинар,2025-09-01,3.1,18,Павлова О.О.,ИМ-32,Дискретная математика
ИМ,Семинар,2025-09-01,2.3,16,Петров П.П.,ИМ-21,Базы данных
ИГУиП,Лекция,2025-09-01,3.7,15,Павлова О.О.,ИЗО-42,Операционные системы
ИЗО,Лекция,2025-09-01,4.1,12,Иванов И.И.,ИЭФ-11,Философия
ИОМ,Лабораторная,2025-09-01,3.3,7,Соколов В.В.,ИЗО-41,Математический анализ
ИУПСиБК,Семинар,2025-09-01,3.0,12,Федоров И.И.,ИУПСиБК-42,Алгоритмы
ИЗО,Семинар,2025-09-01,2.6,6,Петров П.П.,ИГУиП-12,Философия
ИЭФ,Лабораторная,2025-09-01,2.7,6,Иванов И.И.,ИУПСиБК-13,Web-технологии
ИГУиП,Лабораторная,2025-09-01,1.6,16,Козлова Е.Е.,ИЭФ-21,Иностранный язык
ИИС,Семинар,2025-09-01,4.0,17,Козлова Е.Е.,ИУПСиБК-11,Право
ИГУиП,Лабораторная,2025-09-01,2.3,17,Сидорова А.А.,ИГУиП-43,Статистика
ИОМ,Лекция,2025-09-01,3.5,10,Морозов Д.Д.,ИЭФ-22,История
ИМ,Лабораторная,2025-09-01,2.0,7,Морозов Д.Д.,ИГУиП-21,Статистика
ИЗО,Семинар,2025-09-01,2.8,14,Новикова М.М.,ИИС-23,Финансы
ИУПСиБК,Лекция,2025-09-01,2.4,16,Волков А.А.,ИМ-21,Операционные системы
ИОМ,Лекция,2025-09-01,2.8,14,Соколов В.В.,ИЭФ-41,Базы данных
ИМ,Лекция,2025-09-01,1.8,12,Павлова О.О.,ИГУиП-12,Математический анализ
ИЭФ,Семинар,2025-09-01,2.9,13,Петров П.П.,ИИС-12,Менеджмент
ИЭФ,Лекция,2025-09-01,3.1,9,Иванов И.И.,ИМ-22,Финансы
ИУПСиБК,Семинар,2025-09-01,3.8,18,Иванов И.И.,ИИС-33,Финансы
ИГУиП,Лабораторная,2025-09-01,1.7,19,Сидорова А.А.,ИЭФ-22,Право
ИЗО,Лекция,2025-09-08,1.9,9,Иванов И.И.,ИИС-32,Информационные системы
ИОМ,Лабораторная,2025-09-08,1.7,11,Иванов И.И.,ИГУиП-11,Иностранный язык
ИМ,Лабораторная,2025-09-08,4.2,17,Козлова Е.Е.,ИГУиП-11,Право
ИИС,Семинар,2025-09-08,3.2,8,Соколов В.В.,ИУПСиБК-21,Компьютерные сети
ИУПСиБК,Лабораторная,2025-09-08,3.5,8,Козлова Е.Е.,ИОМ-12,Базы данных
ИИС,Лабораторная,2025-09-08,2.2,5,Соколов В.В.,ИОМ-12,Математический анализ
ИОМ,Лабораторная,2025-09-08,3.7,11,Волков А.А.,ИУПСиБК-31,Программирование
ИМ,Семинар,2025-09-08,4.4,14,Федоров И.И.,ИИС-23,Дискретная математика
ИУПСиБК,Лабораторная,2025-09-08,3.2,16,Морозов Д.Д.,ИГУиП-33,Математический анализ
ИУПСиБК,Лекция,2025-09-08,2.0,7,Иванов И.И.,ИЭФ-12,Программирование
ИМ,Лабораторная,2025-09-08,2.2,7,Морозов Д.Д.,ИЗО-42,Статистика
ИМ,Семинар,2025-09-08,2.6,13,Морозов Д.Д.,ИМ-32,Статистика
ИЗО,Лабораторная,2025-09-08,4.0,9,Козлова Е.Е.,ИЗО-33,Дискретная математика
ИИС,Лекция,2025-09-08,3.9,19,Иванов И.И.,ИОМ-42,Философия
ИЗО,Лабораторная,2025-09-08,2.1,11,Сидорова А.А.,ИГУиП-32,Философия
ИОМ,Лабораторная,2025-09-08,3.9,13,Волков А.А.,ИЭФ-31,Философия
ИЗО,Семинар,2025-09-08,3.9,9,Иванов И.И.,ИЗО-43,Информационные системы
ИЗО,Лекция,2025-09-08,2.7,9,Соколов В.В.,ИУПСиБК-33,Право
ИЭФ,Лекция,2025-09-08,3.6,12,Павлова О.О.,ИЭФ-23,Операционные системы
ИУПСиБК,Лабораторная,2025-09-08,4.0,11,Федоров И.И.,ИУПСиБК-42,Экономика
ИМ,Лекция,2025-09-08,2.2,12,Павлова О.О.,ИГУиП-42,Иностранный язык
ИОМ,Семинар,2025-09-08,4.3,16,Петров П.П.,ИИС-43,Алгоритмы
ИЭФ,Лекция,2025-09-08,4.0,12,Сидорова А.А.,ИИС-41,Финансы
ИУПСиБК,Семинар,2025-09-08,3.5,13,Иванов И.И.,ИГУиП-13,Статистика
ИГУиП,Лабораторная,2025-09-08,2.2,8,Волков А.А.,ИИС-41,Философия
ИЗО,Лекция,2025-09-08,3.3,16,Петров П.П.,ИЗО-23,Финансы
ИЗО,Лекция,2025-09-08,2.8,8,Павлова О.О.,ИУПСиБК-22,Философия
ИМ,Семинар,2025-09-08,1.9,13,Козлова Е.Е.,ИИС-23,Компьютерные сети
ИИС,Семинар,2025-09-08,2.5,9,Петров П.П.,ИГУиП-43,Операционные системы
ИИС,Лабораторная,2025-09-08,1.9,12,Новикова М.М.,ИИС-31,Операционные системы
ИЭФ,Лекция,2025-09-15,3.5,14,Волков А.А.,ИГУиП-23,Информационные системы
ИОМ,Лабораторная,2025-09-15,3.4,8,Соколов В.В.,ИГУиП-11,Операционные системы
ИИС,Семинар,2025-09-15,3.4,5,Петров П.П.,ИМ-23,Финансы
ИМ,Лабораторная,2025-09-15,2.8,8,Новикова М.М.,ИУПСиБК-41,Алгоритмы
ИУПСиБК,Лабораторная,2025-09-15,2.4,8,Павлова О.О.,ИЗО-42,Web-технологии
ИЭФ,Лабораторная,2025-09-15,1.8,8,Федоров И.И.,ИОМ-43,Менеджмент
ИОМ,Лабораторная,2025-09-15,2.7,10,Иванов И.И.,ИИС-41,Информационные системы
ИУПСиБК,Лабораторная,2025-09-15,2.9,19,Павлова О.О.,ИИС-43,Алгоритмы
ИУПСиБК,Лекция,2025-09-15,3.1,13,Соколов В.В.,ИОМ-13,Базы данных
ИОМ,Лекция,2025-09-15,3.1,16,Волков А.А.,ИОМ-13,Право
ИИС,Лабораторная,2025-09-15,2.5,5,Волков А.А.,ИИС-22,Базы данных
ИИС,Лекция,2025-09-15,2.9,7,Федоров И.И.,ИУПСиБК-33,Статистика
ИМ,Лабораторная,2025-09-15,1.8,16,Новикова М.М.,ИУПСиБК-13,Дискретная математика
ИЗО,Лекция,2025-09-15,1.9,9,Федоров И.И.,ИОМ-41,Экономика
ИУПСиБК,Лабораторная,2025-09-15,4.2,6,Козлова Е.Е.,ИОМ-33,Web-технологии
ИЗО,Лабораторная,2025-09-15,3.4,7,Иванов И.И.,ИУПСиБК-21,Экономика
ИИС,Лекция,2025-09-15,4.2,6,Соколов В.В.,ИОМ-21,Философия
ИЗО,Семинар,2025-09-15,2.0,15,Сидорова А.А.,ИМ-31,Алгоритмы
ИЭФ,Лекция,2025-09-15,4.3,15,Волков А.А.,ИЗО-33,Бухгалтерский учет
ИМ,Семинар,2025-09-15,2.2,16,Новикова М.М.,ИУПСиБК-42,Информационные системы
ИГУиП,Лекция,2025-09-15,3.6,14,Сидорова А.А.,ИИС-33,Экономика
ИМ,Лекция,2025-09-15,2.0,13,Волков А.А.,ИУПСиБК-31,Программирование
ИМ,Лекция,2025-09-15,2.7,16,Федоров И.И.,ИИС-13,Иностранный язык
ИЭФ,Лабораторная,2025-09-15,4.2,9,Сидорова А.А.,ИУПСиБК-43,История
ИИС,Лекция,2025-09-15,2.7,8,Федоров И.И.,ИГУиП-41,Компьютерные сети
ИМ,Семинар,2025-09-15,2.8,7,Иванов И.И.,ИГУиП-43,Компьютерные сети
ИЭФ,Лабораторная,2025-09-15,2.8,16,Павлова О.О.,ИУПСиБК-21,Компьютерные сети
ИЗО,Лекция,2025-09-15,2.8,9,Иванов И.И.,ИИС-11,Алгоритмы
ИЭФ,Лабораторная,2025-09-15,4.2,10,Козлова Е.Е.,ИИС-12,Философия
ИЗО,Лабораторная,2025-09-15,3.5,14,Иванов И.И.,ИГУиП-23,Математический анализ
ИГУиП,Лекция,2025-09-22,2.7,5,Сидорова А.А.,ИИС-11,Математический анализ
ИУПСиБК,Лабораторная,2025-09-22,3.0,14,Морозов Д.Д.,ИМ-33,Философия
ИГУиП,Лабораторная,2025-09-22,2.4,11,Иванов И.И.,ИОМ-11,Программирование
ИИС,Лекция,2025-09-22,3.9,6,Петров П.П.,ИЭФ-22,Информационные системы
ИЗО,Лабораторная,2025-09-22,2.0,16,Федоров И.И.,ИОМ-31,Операционные системы
ИИС,Семинар,2025-09-22,2.2,9,Иванов И.И.,ИОМ-11,Статистика
ИИС,Семинар,2025-09-22,4.5,12,Козлова Е.Е.,ИОМ-21,Менеджмент
ИМ,Лекция,2025-09-22,1.7,14,Павлова О.О.,ИЭФ-13,История
ИИС,Семинар,2025-09-22,4.5,11,Козлова Е.Е.,ИГУиП-43,Право
ИИС,Семинар,2025-09-22,3.0,9,Волков А.А.,ИИС-11,Экономика
ИМ,Лабораторная,2025-09-22,3.7,5,Федоров И.И.,ИУПСиБК-42,Бухгалтерский учет
ИИС,Лекция,2025-09-22,1.5,17,Павлова О.О.,ИМ-13,Право
ИМ,Лекция,2025-09-22,1.7,10,Иванов И.И.,ИЗО-32,Программирование
ИЗО,Семинар,2025-09-22,4.0,17,Петров П.П.,ИМ-22,Финансы
ИИС,Семинар,2025-09-22,3.7,10,Новикова М.М.,ИГУиП-12,Web-технологии
ИИС,Лабораторная,2025-09-22,1.8,16,Морозов Д.Д.,ИЗО-43,Иностранный язык
ИИС,Лекция,2025-09-22,4.0,14,Козлова Е.Е.,ИОМ-13,История
ИЗО,Лекция,2025-09-22,3.4,17,Волков А.А.,ИМ-43,Философия
ИОМ,Лабораторная,2025-09-22,1.6,7,Морозов Д.Д.,ИЗО-13,Программирование
ИОМ,Лекция,2025-09-22,4.0,5,Новикова М.М.,ИЗО-23,Компьютерные сети
ИОМ,Лабораторная,2025-09-22,2.2,13,Федоров И.И.,ИГУиП-41,Базы данных
ИГУиП,Лабораторная,2025-09-22,2.2,17,Соколов В.В.,ИГУиП-21,Дискретная математика
ИГУиП,Лекция,2025-09-22,2.7,7,Соколов В.В.,ИОМ-11,Статистика
ИИС,Лабораторная,2025-09-22,2.9,17,Козлова Е.Е.,ИЭФ-11,Web-технологии
ИУПСиБК,Лекция,2025-09-22,3.7,14,Сидорова А.А.,ИГУиП-33,Экономика
ИЗО,Лабораторная,2025-09-22,3.6,19,Иванов И.И.,ИОМ-41,Дискретная математика
ИЗО,Лекция,2025-09-22,4.1,8,Новикова М.М.,ИИС-21,Философия
ИЗО,Семинар,2025-09-22,2.1,7,Козлова Е.Е.,ИЗО-22,Web-технологии
ИИС,Семинар,2025-09-22,4.3,17,Новикова М.М.,ИИС-11,Право
ИМ,Семинар,2025-09-22,4.0,14,Морозов Д.Д.,ИОМ-21,Информационные системы
ИЭФ,Лабораторная,2025-09-29,3.3,17,Федоров И.И.,ИМ-42,Web-технологии
ИУПСиБК,Лабораторная,2025-09-29,4.4,13,Сидорова А.А.,ИГУиП-22,Иностранный язык
ИУПСиБК,Семинар,2025-09-29,2.9,6,Петров П.П.,ИМ-23,Финансы
ИОМ,Лабораторная,2025-09-29,1.7,6,Новикова М.М.,ИИС-23,Web-технологии
ИИС,Семинар,2025-09-29,2.0,10,Морозов Д.Д.,ИГУиП-31,Статистика
ИЭФ,Семинар,2025-09-29,2.0,14,Морозов Д.Д.,ИОМ-22,Дискретная математика
ИУПСиБК,Семинар,2025-09-29,4.5,5,Морозов Д.Д.,ИЭФ-32,Иностранный язык
ИУПСиБК,Лекция,2025-09-29,3.8,5,Петров П.П.,ИЭФ-12,Математический анализ
ИГУиП,Семинар,2025-09-29,2.3,10,Морозов Д.Д.,ИЗО-23,История
ИМ,Семинар,2025-09-29,2.1,17,Петров П.П.,ИИС-12,Финансы
ИИС,Лекция,2025-09-29,2.5,10,Новикова М.М.,ИИС-41,Информационные системы
ИЭФ,Лекция,2025-09-29,2.8,12,Федоров И.И.,ИГУиП-13,Математический анализ
ИМ,Лабораторная,2025-09-29,3.5,18,Иванов И.И.,ИМ-11,Экономика
ИЭФ,Семинар,2025-09-29,1.7,16,Морозов Д.Д.,ИМ-21,Базы данных
ИГУиП,Семинар,2025-09-29,2.7,13,Козлова Е.Е.,ИЭФ-22,История
ИОМ,Лабораторная,2025-09-29,1.6,15,Соколов В.В.,ИМ-12,Бухгалтерский учет
ИИС,Лабораторная,2025-09-29,2.7,18,Петров П.П.,ИОМ-22,Право
ИИС,Семинар,2025-09-29,3.6,17,Петров П.П.,ИГУиП-33,Бухгалтерский учет
ИГУиП,Лабораторная,2025-09-29,1.6,5,Федоров И.И.,ИГУиП-42,Web-технологии
ИГУиП,Лабораторная,2025-09-29,4.5,10,Петров П.П.,ИУПСиБК-22,Информационные системы
ИИС,Лекция,2025-09-29,2.9,5,Морозов Д.Д.,ИЗО-23,Дискретная математика
ИИС,Семинар,2025-09-29,2.2,10,Сидорова А.А.,ИЗО-31,Web-технологии
ИУПСиБК,Лекция,2025-09-29,2.6,15,Соколов В.В.,ИЭФ-33,Информационные системы
ИУПСиБК,Лекция,2025-09-29,4.3,5,Волков А.А.,ИГУиП-11,Менеджмент
ИЭФ,Лекция,2025-09-29,2.7,7,Федоров И.И.,ИЗО-13,Бухгалтерский учет
ИГУиП,Семинар,2025-09-29,1.6,14,Волков А.А.,ИГУиП-23,Компьютерные сети
ИОМ,Лабораторная,2025-09-29,1.6,16,Сидорова А.А.,ИУПСиБК-11,Финансы
ИЭФ,Семинар,2025-09-29,3.9,9,Соколов В.В.,ИЗО-11,Компьютерные сети
ИОМ,Лекция,2025-09-29,3.5,17,Новикова М.М.,ИЗО-31,Иностранный язык
ИМ,Лекция,2025-09-29,3.8,15,Морозов Д.Д.,ИУПСиБК-32,История
ИОМ,Семинар,2025-10-06,1.8,12,Сидорова А.А.,ИЭФ-22,Финансы
ИИС,Лабораторная,2025-10-06,3.4,14,Петров П.П.,ИУПСиБК-12,Математический анализ
ИЗО,Лабораторная,2025-10-06,1.6,10,Морозов Д.Д.,ИГУиП-31,Финансы
ИОМ,Лабораторная,2025-10-06,4.2,19,Волков А.А.,ИЗО-12,Информационные системы
ИЭФ,Лабораторная,2025-10-06,3.2,15,Петров П.П.,ИИС-42,Базы данных
ИУПСиБК,Семинар,2025-10-06,2.9,8,Соколов В.В.,ИЗО-12,Дискретная математика
ИИС,Лекция,2025-10-06,1.8,18,Иванов И.И.,ИГУиП-31,Экономика
ИЭФ,Лабораторная,2025-10-06,1.8,14,Иванов И.И.,ИЭФ-22,Базы данных
ИГУиП,Лекция,2025-10-06,3.3,7,Морозов Д.Д.,ИЗО-21,Право
