institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline
ИУПСиБК,Лабораторная,2025-09-01,3.3,5,Козлова Е.Е.,ИЭФ-31,Web-технологии
ИГУиП,Лекция,2025-09-01,2.0,18,Петров П.П.,ИМ-21,Менеджмент
ИЗО,Лекция,2025-09-01,2.2,6,Сидорова А.А.,ИЭФ-41,Операционные системы
ИОМ,Лекция,2025-09-01,1.7,10,Новикова М.М.,ИУПСиБК-41,Операционные системы
ИГУиП,Лекция,2025-09-01,4.4,5,Иванов И.И.,ИОМ-33,Финансы
ИУПСиБК,Лекция,2025-09-01,2.3,11,Петров П.П.,ИУПСиБК-13,Экономика
ИЗО,Лабораторная,2025-09-01,2.3,9,Козлова Е.Е.,ИЭФ-21,Компьютерные сети
ИМ,Лекция,2025-09-01,3.3,5,Петров П.П.,ИЗО-42,История
ИЗО,Семинар,2025-09-01,3.8,14,Сидорова А.А.,ИГУиП-13,Экономика
ИОМ,Лабораторная,2025-09-01,4.1,8,Иванов И.И.,ИМ-22,Web-технологии
ИОМ,Лекция,2025-09-01,3.4,9,Петров П.П.,ИУПСиБК-31,Операционные системы
ИУПСиБК,Семинар,2025-09-01,3.0,6,Павлова О.О.,ИГУиП-21,Программирование
ИОМ,Лабораторная,2025-09-01,4.1,10,Новикова М.М.,ИИС-13,Базы данных
ИЗО,Лекция,2025-09-01,2.6,11,Морозов Д.Д.,ИЗО-33,Программирование
ИМ,Лекция,2025-09-01,3.8,17,Волков А.А.,ИМ-21,Менеджмент
ИГУиП,Семинар,2025-09-01,1.5,14,Петров П.П.,ИИС-41,История
ИМ,Семинар,2025-09-01,1.5,17,Козлова Е.Е.,ИИС-42,Финансы
ИУПСиБК,Лекция,2025-09-01,2.7,13,Сидорова А.А.,ИМ-32,Дискретная математика
ИОМ,Семинар,2025-09-01,2.4,8,Иванов И.И.,ИГУиП-13,Право
ИУПСиБК,Семинар,2025-09-01,1.9,8,Сидорова А.А.,ИГУиП-32,Экономика
ИИС,Семинар,2025-09-01,2.8,18,Сидорова А.А.,ИОМ-32,Иностранный язык
ИМ,Семинар,2025-09-01,2.4,18,Волков А.А.,ИОМ-22,Право
ИГУиП,Лекция,2025-09-01,1.7,10,Иванов И.И.,ИМ-42,Статистика
ИГУиП,Семинар,2025-09-01,3.9,12,Волков А.А.,ИЗО-41,Философия
ИУПСиБК,Лекция,2025-09-01,3.1,5,Федоров И.И.,ИМ-31,Философия
ИЗО,Лекция,2025-09-01,1.7,17,Морозов Д.Д.,ИЗО-33,Право
ИЗО,Лекция,2025-09-01,3.4,16,Иванов И.И.,ИОМ-13,Менеджмент
ИОМ,Лекция,2025-09-01,4.5,10,Новикова М.М.,ИОМ-43,Философия
ИГУиП,Лекция,2025-09-01,2.5,5,Соколов В.В.,ИОМ-21,Web-технологии
ИЗО,Семинар,2025-09-01,2.9,12,Морозов Д.Д.,ИИС-43,Менеджмент
ИЭФ,Лабораторная,2025-09-08,4.2,7,Волков А.А.,ИЭФ-12,Иностранный язык
ИЭФ,Лабораторная,2025-09-08,3.3,15,Морозов Д.Д.,ИГУиП-11,Бухгалтерский учет
ИМ,Семинар,2025-09-08,3.9,19,Иванов И.И.,ИМ-33,Операционные системы
ИМ,Семинар,2025-09-08,2.2,14,Федоров И.И.,ИГУиП-42,Математический анализ
ИГУиП,Лабораторная,2025-09-08,3.4,15,Морозов Д.Д.,ИЗО-11,Математический анализ
ИЭФ,Семинар,2025-09-08,3.0,9,Павлова О.О.,ИИС-13,Право
ИМ,Лабораторная,2025-09-08,3.1,5,Сидорова А.А.,ИЭФ-31,Дискретная математика
ИГУиП,Семинар,2025-09-08,4.1,6,Павлова О.О.,ИЗО-41,Финансы
ИОМ,Семинар,2025-09-08,2.2,16,Павлова О.О.,ИГУиП-32,Экономика
ИГУиП,Семинар,2025-09-08,3.0,16,Федоров И.И.,ИУПСиБК-12,Философия
ИУПСиБК,Лекция,2025-09-08,1.8,14,Волков А.А.,ИУПСиБК-21,Иностранный язык
ИМ,Лекция,2025-09-08,1.5,13,Петров П.П.,ИУПСиБК-21,Финансы
