institute,lesson_type,date,teacher_load,total_classes,teacher_name,group_name,discipline,time
ИУПСиБК,Лабораторная,2025-09-01T00:00:00,2.7,7,Федоров И.И.,ИМ-41,Бухгалтерский учет,02:42
ИГУиП,Лабораторная,2025-09-01T00:00:00,1.7,19,Сидорова А.А.,ИЭФ-22,Право,01:42
ИУПСиБК,Семинар,2025-09-01T00:00:00,3.8,18,Иванов И.И.,ИИС-33,Финансы,03:47
ИЭФ,Лекция,2025-09-01T00:00:00,3.1,9,Иванов И.И.,ИМ-22,Финансы,03:06
ИЭФ,Семинар,2025-09-01T00:00:00,2.9,13,Петров П.П.,ИИС-12,Менеджмент,02:53
ИМ,Лекция,2025-09-01T00:00:00,1.8,12,Павлова О.О.,ИГУиП-12,Математический анализ,01:48
ИОМ,Лекция,2025-09-01T00:00:00,2.8,14,Соколов В.В.,ИЭФ-41,Базы данных,02:47
ИУПСиБК,Лекция,2025-09-01T00:00:00,2.4,16,Волков А.А.,ИМ-21,Операционные системы,02:23
ИМ,Лабораторная,2025-09-01T00:00:00,2.0,7,Морозов Д.Д.,ИГУиП-21,Статистика,02:00
ИОМ,Лекция,2025-09-01T00:00:00,3.5,10,Морозов Д.Д.,ИЭФ-22,История,03:30
ИГУиП,Лабораторная,2025-09-01T00:00:00,2.3,17,Сидорова А.А.,ИГУиП-43,Статистика,02:17
ИИС,Семинар,2025-09-01T00:00:00,4.0,17,Козлова Е.Е.,ИУПСиБК-11,Право,04:00
ИГУиП,Лабораторная,2025-09-01T00:00:00,1.6,16,Козлова Е.Е.,ИЭФ-21,Иностранный язык,01:36
ИЭФ,Лабораторная,2025-09-01T00:00:00,2.7,6,Иванов И.И.,ИУПСиБК-13,Web-технологии,02:42
ИЗО,Семинар,2025-09-01T00:00:00,2.6,6,Петров П.П.,ИГУиП-12,Философия,02:36
ИЗО,Семинар,2025-09-01T00:00:00,2.8,14,Новикова М.М.,ИИС-23,Финансы,02:47
ИОМ,Лабораторная,2025-09-01T00:00:00,3.3,7,Соколов В.В.,ИЗО-41,Математический анализ,03:17
ИУПСиБК,Семинар,2025-09-01T00:00:00,3.0,12,Федоров И.И.,ИУПСиБК-42,Алгоритмы,03:00
ИУПСиБК,Лабораторная,2025-09-01T00:00:00,3.3,19,Иванов И.И.,ИЗО-22,Иностранный язык,03:17
ИИС,Лабораторная,2025-09-01T00:00:00,3.3,16,Павлова О.О.,ИОМ-32,История,03:17
ИУПСиБК,Лекция,2025-09-01T00:00:00,1.7,6,Сидорова А.А.,ИГУиП-21,Математический анализ,01:42
ИМ,Лабораторная,2025-09-01T00:00:00,3.9,8,Петров П.П.,ИИС-23,Компьютерные сети,03:53
ИОМ,Семинар,2025-09-01T00:00:00,2.4,10,Новикова М.М.,ИЭФ-33,Иностранный язык,02:23
ИМ,Семинар,2025-09-01T00:00:00,3.8,12,Морозов Д.Д.,ИОМ-43,Иностранный язык,03:47
ИЗО,Лекция,2025-09-01T00:00:00,2.0,18,Иванов И.И.,ИУПСиБК-31,Операционные системы,02:00
ИЗО,Семинар,2025-09-01T00:00:00,3.1,18,Павлова О.О.,ИМ-32,Дискретная математика,03:06
ИМ,Семинар,2025-09-01T00:00:00,2.3,16,Петров П.П.,ИМ-21,Базы данных,02:17
ИГУиП,Лекция,2025-09-01T00:00:00,3.7,15,Павлова О.О.,ИЗО-42,Операционные системы,03:42
ИЗО,Лекция,2025-09-01T00:00:00,4.1,12,Иванов И.И.,ИЭФ-11,Философия,04:05
ИОМ,Семинар,2025-09-01T00:00:00,3.8,10,Новикова М.М.,ИМ-42,Бухгалтерский учет,03:47
ИЗО,Лекция,2025-09-08T00:00:00,2.7,9,Соколов В.В.,ИУПСиБК-33,Право,02:42
ИОМ,Семинар,2025-09-08T00:00:00,4.3,16,Петров П.П.,ИИС-43,Алгоритмы,04:17
ИЭФ,Лекция,2025-09-08T00:00:00,3.6,12,Павлова О.О.,ИЭФ-23,Операционные системы,03:36
ИУПСиБК,Лабораторная,2025-09-08T00:00:00,4.0,11,Федоров И.И.,ИУПСиБК-42,Экономика,04:00
ИМ,Лекция,2025-09-08T00:00:00,2.2,12,Павлова О.О.,ИГУиП-42,Иностранный язык,02:12
ИЭФ,Лекция,2025-09-08T00:00:00,4.0,12,Сидорова А.А.,ИИС-41,Финансы,04:00
ИИС,Лабораторная,2025-09-08T00:00:00,1.9,12,Новикова М.М.,ИИС-31,Операционные системы,01:53
ИГУиП,Лабораторная,2025-09-08T00:00:00,2.2,8,Волков А.А.,ИИС-41,Философия,02:12
ИЗО,Лекция,2025-09-08T00:00:00,3.3,16,Петров П.П.,ИЗО-23,Финансы,03:17
ИЗО,Лекция,2025-09-08T00:00:00,2.8,8,Павлова О.О.,ИУПСиБК-22,Философия,02:47
ИМ,Семинар,2025-09-08T00:00:00,1.9,13,Козлова Е.Е.,ИИС-23,Компьютерные сети,01:53
ИИС,Семинар,2025-09-08T00:00:00,2.5,9,Петров П.П.,ИГУиП-43,Операционные системы,02:30
ИЗО,Семинар,2025-09-08T00:00:00,3.9,9,Иванов И.И.,ИЗО-43,Информационные системы,03:53
ИУПСиБК,Семинар,2025-09-08T00:00:00,3.5,13,Иванов И.И.,ИГУиП-13,Статистика,03:30
ИОМ,Лабораторная,2025-09-08T00:00:00,3.9,13,Волков А.А.,ИЭФ-31,Философия,03:53
ИМ,Семинар,2025-09-08T00:00:00,4.4,14,Федоров И.И.,ИИС-23,Дискретная математика,04:24
ИИС,Лекция,2025-09-08T00:00:00,3.9,19,Иванов И.И.,ИОМ-42,Философия,03:53
ИЗО,Лабораторная,2025-09-08T00:00:00,2.1,11,Сидорова А.А.,ИГУиП-32,Философия,02:06
ИЗО,Лекция,2025-09-08T00:00:00,1.9,9,Иванов И.И.,ИИС-32,Информационные системы,01:53
ИОМ,Лабораторная,2025-09-08T00:00:00,1.7,11,Иванов И.И.,ИГУиП-11,Иностранный язык,01:42
